state,x,y
Alabama,106,-89
Alaska,-249,-125
Arizona,-194,-38
Arkansas,32,-45
California,-287,7
Colorado,-123,16
Florida,188,-151
Georgia,148,-75
Idaho,-196,97
Illinois,71,23
Indiana,108,19
Iowa,17,49
Kansas,-42,-3
Kentucky,110,-14
Louisiana,41,-118
Michigan,116,79
Minnesota,4,135
Mississippi,70,-99
Missouri,34,-9
Montana,-152,133
Nebraska,-46,41
Nevada,-246,40
New Mexico,-140,-55
New York,198,81
North Carolina,171,-28
North Dakota,-69,125
Ohio,141,29
Oklahoma,-31,-43
Oregon,-268,113
Pennsylvania,184,54
South Carolina,182,-55
South Dakota,-70,81
Tennessee,99,-36
Texas,-40,-114
Utah,-182,29
Virginia,198,-1
Washington,-268,167
Wisconsin,45,98
Wyoming,-134,80
