state,x,y
Alabama,119,-67
Alaska,-240,-131
Arizona,-182,-49
Arkansas,46,-51
California,-275,33
Colorado,-96,11
Florida,193,-128
Georgia,165,-81
Idaho,-191,119
Illinois,82,45
Indiana,117,38
Iowa,24,67
Kansas,-28,17
Kentucky,138,5
Louisiana,51,-98
Michigan,126,99
Minnesota,20,130
Mississippi,86,-79
Missouri,50,13
Montana,-135,152
Nebraska,-28,61
Nevada,-231,61
New Mexico,-114,-33
New York,227,101
North Carolina,222,-33
North Dakota,-42,151
Ohio,150,49
Oklahoma,-2,-49
Oregon,-254,133
Pennsylvania,208,51
South Carolina,198,-58
South Dakota,-40,103
Tennessee,91,-37
Texas,-29,-91
Utah,-178,52
Virginia,214,17
Washington,-246,163
Wisconsin,75,90
Wyoming,-109,71
